


  RMIN =  .750  MAXV   = 10  BE =   12.6450
  RMAX = 3.500  KDMAXV = 10  RE =    1.1977
  DELR =  .005  NEIG   =  0  DE =20000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM   1.250 TO   2.545 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         1.7400           15011.440         1.7450           15140.820         1.7500           15269.610
         1.7550           15397.790         1.7600           15525.310         1.7650           15652.180
         1.7700           15778.410         1.7750           15904.000         1.7800           16028.940
         1.7850           16153.230         1.7900           16276.880         1.7950           16399.850
         1.8000           16522.160         1.8050           16643.830         1.8100           16764.860
         1.8150           16885.230         1.8200           17004.910         1.8250           17123.850
         1.8300           17242.200         1.8350           17359.900         1.8400           17476.920
         1.8450           17593.250         1.8500           17708.900         1.8550           17823.870
         1.8600           17938.110         1.8650           18051.720         1.8700           18164.730
         1.8750           18277.040         1.8800           18388.620         1.8850           18499.480
         1.8900           18609.720         1.8950           18719.290         1.9000           18828.180
         1.9050           18936.400         1.9100           19043.940         1.9150           19150.790
         1.9200           19256.950         1.9250           19362.470         1.9300           19467.390
         1.9350           19571.500         1.9400           19674.940         1.9450           19777.780
         1.9500           19880.020         1.9550           19981.570         1.9600           20082.280
         1.9650           20182.420         1.9700           20281.990         1.9750           20380.870
         1.9800           20479.030         1.9850           20576.490         1.9900           20673.300
         1.9950           20769.530         2.0000           20865.130         2.0050           20959.980
         2.0100           21054.190         2.0150           21147.810         2.0200           21240.850
         2.0250           21333.240         2.0300           21424.850         2.0350           21515.810
         2.0400           21606.240         2.0450           21695.990         2.0500           21785.080
         2.0550           21873.540         2.0600           21961.380         2.0650           22048.650
         2.0700           22135.320         2.0750           22221.290         2.0800           22306.670
         2.0850           22391.440         2.0900           22475.590         2.0950           22559.120
1
         2.1000           22642.010         2.1050           22724.290         2.1100           22806.010
         2.1150           22887.210         2.1200           22967.810         2.1250           23047.690
         2.1300           23126.430         2.1350           23204.360         2.1400           23281.380
         2.1450           23357.510         2.1500           23432.750         2.1550           23507.110
         2.1600           23580.590         2.1650           23653.210         2.1700           23724.980
         2.1750           23795.900         2.1800           23865.980         2.1850           23935.230
         2.1900           24003.660         2.1950           24071.280         2.2000           24138.090
         2.2050           24204.110         2.2100           24269.340         2.2150           24333.790
         2.2200           24397.460         2.2250           24460.370         2.2300           24522.530
         2.2350           24583.930         2.2400           24644.600         2.2450           24704.540
         2.2500           24763.740         2.2550           24822.240         2.2600           24880.020
         2.2650           24937.100         2.2700           24993.490         2.2750           25049.190
         2.2800           25104.220         2.2850           25158.570         2.2900           25212.250
         2.2950           25265.280         2.3000           25317.660         2.3050           25369.400
         2.3100           25420.500         2.3150           25470.980         2.3200           25520.830
         2.3250           25570.070         2.3300           25618.700         2.3350           25666.730
         2.3400           25714.170         2.3450           25761.020         2.3500           25807.290
         2.3550           25852.980         2.3600           25898.110         2.3650           25942.680
         2.3700           25986.690         2.3750           26030.160         2.3800           26073.080
         2.3850           26115.470         2.3900           26157.330         2.3950           26198.660
         2.4000           26239.480         2.4050           26279.790         2.4100           26319.590
         2.4150           26358.890         2.4200           26397.710         2.4250           26436.030
         2.4300           26473.870         2.4350           26511.230         2.4400           26548.130
         2.4450           26584.560         2.4500           26620.530         2.4550           26656.050
         2.4600           26691.120         2.4650           26725.740         2.4700           26759.930
         2.4750           26793.680         2.4800           26827.010         2.4850           26859.910
         2.4900           26892.400         2.4950           26924.480         2.5000           26956.150
         2.5050           26987.410         2.5100           27018.280         2.5150           27048.760
         2.5200           27078.840         2.5250           27108.550         2.5300           27137.880
         2.5350           27166.830         2.5400           27195.410         2.5450           27223.630
         2.5500           27251.480         2.5550           27278.990         2.5600           27306.130
         2.5650           27332.940         2.5700           27359.400         2.5750           27385.520
         2.5800           27411.300         2.5850           27436.760         2.5900           27461.890
         2.5950           27486.700         2.6000           27511.180         2.6050           27535.360
         2.6100           27559.220         2.6150           27582.770         2.6200           27606.030
         2.6250           27628.980         2.6300           27651.640         2.6350           27674.010
         2.6400           27696.080         2.6450           27717.880         2.6500           27739.390
         2.6550           27760.630         2.6600           27781.590         2.6650           27802.280
         2.6700           27822.700         2.6750           27842.860         2.6800           27862.760
         2.6850           27882.400         2.6900           27901.790         2.6950           27920.920
         2.7000           27939.810         2.7050           27958.460         2.7100           27976.860
         2.7150           27995.020         2.7200           28012.950         2.7250           28030.650
         2.7300           28048.110         2.7350           28065.350         2.7400           28082.370
