


  RMIN =  .750  MAXV   = 12  BE =   17.3580
  RMAX = 3.500  KDMAXV = 12  RE =    1.0123
  DELR =  .005  NEIG   =  0  DE =35000.0000
  ZMU  =  .948


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .880 TO   2.120 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         2.5950           34881.280         2.6000           34886.020         2.6050           34890.580
         2.6100           34894.950         2.6150           34899.150         2.6200           34903.180
         2.6250           34907.050         2.6300           34910.770         2.6350           34914.330
         2.6400           34917.760         2.6450           34921.040         2.6500           34924.200
         2.6550           34927.230         2.6600           34930.140         2.6650           34932.930
         2.6700           34935.610         2.6750           34938.190         2.6800           34940.660
         2.6850           34943.030         2.6900           34945.310         2.6950           34947.500
         2.7000           34949.600         2.7050           34951.610         2.7100           34953.550
         2.7150           34955.400         2.7200           34957.190         2.7250           34958.900
         2.7300           34960.540         2.7350           34962.120         2.7400           34963.630
         2.7450           34965.090         2.7500           34966.480         2.7550           34967.820
         2.7600           34969.110         2.7650           34970.350         2.7700           34971.530
1
         2.7750           34972.670         2.7800           34973.770         2.7850           34974.810
         2.7900           34975.820         2.7950           34976.790         2.8000           34977.710
         2.8050           34978.610         2.8100           34979.460         2.8150           34980.290
         2.8200           34981.070         2.8250           34981.830         2.8300           34982.550
         2.8350           34983.250         2.8400           34983.920         2.8450           34984.570
         2.8500           34985.180         2.8550           34985.780         2.8600           34986.340
         2.8650           34986.890         2.8700           34987.410         2.8750           34987.920
         2.8800           34988.400         2.8850           34988.870         2.8900           34989.310
         2.8950           34989.740         2.9000           34990.150         2.9050           34990.540
         2.9100           34990.920         2.9150           34991.290         2.9200           34991.630
         2.9250           34991.970         2.9300           34992.290         2.9350           34992.600
         2.9400           34992.890         2.9450           34993.180         2.9500           34993.450
         2.9550           34993.710         2.9600           34993.960         2.9650           34994.200
         2.9700           34994.440         2.9750           34994.660         2.9800           34994.870
         2.9850           34995.080         2.9900           34995.270         2.9950           34995.460
         3.0000           34995.640         3.0050           34995.820         3.0100           34995.990
         3.0150           34996.150         3.0200           34996.300         3.0250           34996.450
         3.0300           34996.590         3.0350           34996.730         3.0400           34996.860
         3.0450           34996.980         3.0500           34997.110         3.0550           34997.220
         3.0600           34997.330         3.0650           34997.440         3.0700           34997.540
         3.0750           34997.640         3.0800           34997.730         3.0850           34997.820
         3.0900           34997.910         3.0950           34998.000         3.1000           34998.070
         3.1050           34998.150         3.1100           34998.230         3.1150           34998.300
         3.1200           34998.360         3.1250           34998.430         3.1300           34998.490
         3.1350           34998.550         3.1400           34998.610         3.1450           34998.670
         3.1500           34998.720         3.1550           34998.770         3.1600           34998.820
         3.1650           34998.870         3.1700           34998.910         3.1750           34998.960
         3.1800           34999.000         3.1850           34999.040         3.1900           34999.080
         3.1950           34999.110         3.2000           34999.150         3.2050           34999.180
         3.2100           34999.210         3.2150           34999.250         3.2200           34999.280
         3.2250           34999.300         3.2300           34999.330         3.2350           34999.360
         3.2400           34999.390         3.2450           34999.410         3.2500           34999.430
         3.2550           34999.460         3.2600           34999.480         3.2650           34999.500
         3.2700           34999.520         3.2750           34999.540         3.2800           34999.560
         3.2850           34999.570         3.2900           34999.590         3.2950           34999.610
         3.3000           34999.630         3.3050           34999.640         3.3100           34999.650
         3.3150           34999.670         3.3200           34999.680         3.3250           34999.690
         3.3300           34999.710         3.3350           34999.720         3.3400           34999.730
         3.3450           34999.740         3.3500           34999.750         3.3550           34999.760
         3.3600           34999.770         3.3650           34999.780         3.3700           34999.790
         3.3750           34999.800         3.3800           34999.800         3.3850           34999.810
         3.3900           34999.820         3.3950           34999.830         3.4000           34999.830
         3.4050           34999.840         3.4100           34999.850         3.4150           34999.850
         3.4200           34999.860         3.4250           34999.860         3.4300           34999.870
         3.4350           34999.880         3.4400           34999.880         3.4450           34999.890
1
         3.4500           34999.890         3.4550           34999.890         3.4600           34999.900
         3.4650           34999.900         3.4700           34999.910         3.4750           34999.910
         3.4800           34999.910         3.4850           34999.920         3.4900           34999.920
         3.4950           34999.920         3.5000           34999.930
1V'  B(V)  (CAL)   B(V)  (OBS)    DEVIATION        E(V)ALC)   E(V) (OBS)   DEVIATION        RMIN     RMAX   
   -1  17.3580        17.3580       .0000               .0000         .0000       .0000      1.0123      1.0123
    0  16.9582        16.9606      -.0024           1566.2590     1565.9900       .2694       .9186      1.1329
    1  16.1342        16.1418      -.0076           4554.2720     4554.8200      -.5479       .8636      1.2446
    2  15.2504        15.2910      -.0406           7354.5130     7351.0700      3.4429       .8318      1.3378
    3  14.3063        14.4082      -.1019           9974.8190     9959.5300     15.2891       .8098      1.4263
    4  13.3405        13.4934      -.1529          12425.1700    12392.7500     32.4219       .7943      1.5133
    5  12.4141        12.5466      -.1325          14719.9500    14671.0600     48.8936       .7838      1.6012
    6  11.5651        11.5678      -.0027          16874.7600    16822.5400     52.2246       .7786      1.6879
    7  10.8571        10.5570       .3001          18918.0700    18883.0300     35.0391       .7782      1.7749
    8  10.2604         9.5142       .7462          20878.6800    20896.1700    -17.4883       .7841      1.8567
    9   9.8401         8.4394      1.4007          22793.5400    22913.3300   -119.7910       .7960      1.9356
   10   9.5051         7.3326      2.1725          24699.6200    24993.6700   -294.0508       .8157      2.0045
   11   9.2913         6.1938      3.0975          26618.4900    27204.1000   -585.6094       .8426      2.0683
   12   8.8193         5.0230      3.7963          30554.2900    29619.3200    934.9668       .8780      2.1227
  NOISE FACTOR HAS MAXIMUM VALUE OF    .89E-08



  RMIN =  .650  MAXV   = 12  BE =   18.9108
  RMAX = 3.500  KDMAXV = 12  RE =     .9699
  DELR =  .005  NEIG   =  0  DE =39162.1800
  ZMU  =  .948


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .685 TO   2.040 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
          .6500           45280.700          .6550           43318.950          .6600           41422.170
          .6650           39588.660          .6700           37816.750          .6750           36104.830
          .6800           34451.310          .6850           32599.780          .6900           31348.290
          .6950           30023.030          .7000           28680.830          .7050           27309.850
          .7100           25964.280          .7150           24657.040          .7200           23381.020
          .7250           22141.850          .7300           20951.740          .7350           19808.440
          .7400           18710.140          .7450           17653.140          .7500           16640.720
          .7550           15670.940          .7600           14742.820          .7650           13854.690
          .7700           13005.540          .7750           12193.460          .7800           11418.600
          .7850           10678.770          .7900            9972.473          .7950            9299.120
          .8000            8657.386          .8050            8046.367          .8100            7465.255
          .8150            6912.975          .8200            6388.646          .8250            5891.399
          .8300            5420.313          .8350            4974.814          .8400            4553.458
          .8450            4155.595          .8500            3780.501          .8550            3427.444
          .8600            3095.701          .8650            2784.628          .8700            2493.546
          .8750            2221.802          .8800            1968.776          .8850            1733.868
          .8900            1516.467          .8950            1316.005          .9000            1131.926
          .9050             963.686          .9100             810.761          .9150             672.646
          .9200             548.845          .9250             438.883          .9300             342.384
          .9350             258.903          .9400             187.814          .9450             128.722
          .9500              81.241          .9550              44.993          .9600              19.610
          .9650               4.730          .9700                .003          .9750               5.084
          .9800              19.641          .9850              43.346          .9900              75.883
          .9950             116.944         1.0000             166.228         1.0050             223.444
         1.0100             288.310         1.0150             360.551         1.0200             439.903
         1.0250             526.108         1.0300             618.920         1.0350             718.097
         1.0400             823.411         1.0450             934.638         1.0500            1051.565
         1.0550            1173.972         1.0600            1301.640         1.0650            1434.377
         1.0700            1571.991         1.0750            1714.285         1.0800            1861.079
         1.0850            2012.193         1.0900            2167.456         1.0950            2326.700
         1.1000            2489.764         1.1050            2656.482         1.1100            2826.698
         1.1150            3000.273         1.1200            3177.059         1.1250            3356.912
         1.1300            3539.694         1.1350            3725.272         1.1400            3913.515
         1.1450            4104.298         1.1500            4297.513         1.1550            4493.034
         1.1600            4690.735         1.1650            4890.503         1.1700            5092.233
         1.1750            5295.830         1.1800            5501.245         1.1850            5708.428
         1.1900            5917.224         1.1950            6127.521         1.2000            6339.227
         1.2050            6552.249         1.2100            6766.519         1.2150            6981.940
         1.2200            7198.431         1.2250            7415.916         1.2300            7634.314
         1.2350            7853.542         1.2400            8073.515         1.2450            8294.228
         1.2500            8515.528         1.2550            8737.373         1.2600            8959.747
         1.2650            9182.582         1.2700            9405.767         1.2750            9629.214
         1.2800            9852.962         1.2850           10076.910         1.2900           10301.000
         1.2950           10525.180         1.3000           10749.450         1.3050           10973.730
         1.3100           11197.890         1.3150           11421.950         1.3200           11645.910
1
         1.3250           11869.720         1.3300           12093.320         1.3350           12317.010
         1.3400           12540.290         1.3450           12763.150         1.3500           12985.600
         1.3550           13207.650         1.3600           13429.270         1.3650           13650.390
         1.3700           13871.020         1.3750           14091.120         1.3800           14310.650
         1.3850           14529.570         1.3900           14747.860         1.3950           14965.480
         1.4000           15182.380         1.4050           15398.560         1.4100           15614.050
         1.4150           15828.880         1.4200           16042.830         1.4250           16255.940
         1.4300           16468.290         1.4350           16679.790         1.4400           16890.300
         1.4450           17100.150         1.4500           17309.030         1.4550           17516.930
         1.4600           17723.880         1.4650           17929.940         1.4700           18135.260
         1.4750           18339.580         1.4800           18542.650         1.4850           18744.540
