


  RMIN =  .400  MAXV   = 10  BE =   14.6030
  RMAX = 3.500  KDMAXV = 10  RE =    1.1145
  DELR =  .005  NEIG   =  0  DE =18000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .640 TO   3.195 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         2.3500           15083.010         2.3550           15096.520         2.3600           15109.840
         2.3650           15122.960         2.3700           15135.900         2.3750           15148.640
         2.3800           15161.200         2.3850           15173.580         2.3900           15185.780
         2.3950           15197.820         2.4000           15209.680         2.4050           15221.370
         2.4100           15232.890         2.4150           15244.250         2.4200           15255.450
1
         2.4250           15266.490         2.4300           15277.360         2.4350           15288.080
         2.4400           15298.650         2.4450           15309.060         2.4500           15319.330
         2.4550           15329.440         2.4600           15339.410         2.4650           15349.240
         2.4700           15358.920         2.4750           15368.470         2.4800           15377.880
         2.4850           15387.150         2.4900           15396.290         2.4950           15405.300
         2.5000           15414.180         2.5050           15422.920         2.5100           15431.530
         2.5150           15440.020         2.5200           15448.380         2.5250           15456.630
         2.5300           15464.750         2.5350           15472.760         2.5400           15480.660
         2.5450           15488.430         2.5500           15496.100         2.5550           15503.650
         2.5600           15511.100         2.5650           15518.440         2.5700           15525.670
         2.5750           15532.790         2.5800           15539.810         2.5850           15546.730
         2.5900           15553.550         2.5950           15560.270         2.6000           15566.890
         2.6050           15573.410         2.6100           15579.840         2.6150           15586.180
         2.6200           15592.420         2.6250           15598.560         2.6300           15604.620
         2.6350           15610.590         2.6400           15616.470         2.6450           15622.260
         2.6500           15627.970         2.6550           15633.600         2.6600           15639.140
         2.6650           15644.610         2.6700           15649.990         2.6750           15655.290
         2.6800           15660.520         2.6850           15665.670         2.6900           15670.750
         2.6950           15675.750         2.7000           15680.670         2.7050           15685.530
         2.7100           15690.310         2.7150           15695.020         2.7200           15699.660
         2.7250           15704.240         2.7300           15708.740         2.7350           15713.180
         2.7400           15717.560         2.7450           15721.870         2.7500           15726.120
         2.7550           15730.300         2.7600           15734.420         2.7650           15738.490
         2.7700           15742.490         2.7750           15746.430         2.7800           15750.320
         2.7850           15754.150         2.7900           15757.920         2.7950           15761.640
         2.8000           15765.310         2.8050           15768.920         2.8100           15772.480
         2.8150           15775.980         2.8200           15779.420         2.8250           15782.820
